x,y,Cluster_ID
-9.143604,47.204964,4
-9.497659,47.90301,4
-9.638672,48.71547,4
-9.46951,49.402046,4
-8.830642,49.603306,4
-7.7099133,49.487026,4
-6.5816965,49.035866,4
-5.84035,48.44762,4
-5.5239124,47.87216,4
-5.670527,47.263817,4
-6.233522,46.86938,4
-7.1010556,46.62182,4
-7.9823155,46.21956,4
-8.399938,45.708874,4
-8.591961,45.008904,4
-8.589976,44.146217,4
-8.22804,43.014038,4
-7.853824,41.95202,4
-7.801279,41.004208,9
-8.083756,40.066357,9
-8.354208,39.69722,9
-24.188044,26.036396,9
-24.860825,25.837984,9
-25.427017,25.786568,9
-11.678395,-0.99647117,1
-11.290104,-1.593961,1
-9.84584,-2.276974,1
-9.2532,-2.5695558,1
-8.33417,-1.5003366,1
-6.727364,16.95821,1
-19.754375,25.483389,9
-20.59957,25.049026,9
-21.580503,24.56692,9
-22.131187,24.693592,9
-23.729548,25.375376,9
-27.233023,24.928917,9
-27.561821,24.536549,9
-11.86939,-2.4739194,1
-10.882232,-3.2170491,1
-9.67998,-4.25677,1
-9.133396,-3.1233616,1
-8.112806,-2.0870087,1
1.2953589,1.0773532,1
1.5906807,1.7225162,1
1.724217,1.836761,1
1.6473013,2.5097046,1
1.6403708,3.7084675,1
1.6268898,5.0400333,1
1.5973849,6.3219132,1
1.7321302,6.997946,1
2.27063,8.089536,1
3.2969387,8.93521,1
4.104351,9.57942,1
4.696137,10.29389,1
6.471718,12.173462,8
6.838629,12.491529,1
16.29753,34.71691,3
15.450135,35.28327,3
15.012753,35.5289,3
14.03307,35.841892,3
13.667571,35.890736,9
12.65694,35.95421,9
11.937765,35.98981,9
11.564282,36.00917,9
-21.032974,16.00568,9
-20.754942,15.891963,1
-18.315485,-7.7569675,1
-18.597889,-8.344847,1
-18.803944,-8.789278,1
-23.570473,-31.327106,1
-24.334545,-32.64263,1
-24.502295,-33.132435,1
-24.579973,-33.372772,1
8.049671,-1.4351774,8
8.95947,-1.382494,8
9.578268,-0.35198313,8
